City,Area,total_sqft,BHK,Parking,AC,Wifi,Lift,Security,Price,Price_per_sqft
Banglore,Carmelaram,1647,3,0,0,0,1,1,90.03,5466.0
Banglore,Carmelaram,1082,2,0,0,0,1,1,59.23,5474.0
Banglore,Carmelaram,1128,2,0,0,0,1,1,61.74,5473.0
Banglore,Carmelaram,1095,2,0,0,0,1,1,59.94,5474.0
Banglore,Carmelaram,1496,3,0,0,0,1,1,81.8,5468.0
Banglore,Carmelaram,1401,3,0,0,0,1,1,76.62,5469.0
Banglore,Horamavu,1538,3,1,0,0,1,1,87.63,5698.0
Banglore,Horamavu,1573,3,1,0,0,1,1,89.57,5694.0
Banglore,Horamavu,1181,2,1,0,0,1,1,65.81,5572.0
Banglore,Horamavu,1687,3,1,0,0,1,1,96.4,5714.0
Banglore,Horamavu,1196,2,1,0,0,1,1,66.64,5572.0
Banglore,Horamavu,1190,2,1,0,0,1,1,66.31,5572.0
Banglore,Horamavu,1766,3,1,0,0,1,1,100.0,5663.0
Banglore,Horamavu,1730,3,1,0,0,1,1,98.79,5710.0
Banglore,Horamavu,1532,3,1,0,0,1,1,85.29,5567.0
Banglore,Jalahalli,1305,2,0,0,0,0,1,72.52,5557.0
Banglore,Jalahalli,1645,3,0,0,0,0,1,90.37,5494.0
Banglore,Jalahalli,1315,2,0,0,0,0,1,72.98,5550.0
Banglore,Jalahalli,1950,3,0,0,0,0,1,104.0,5333.0
Banglore,Jalahalli,1750,3,0,0,0,0,1,95.2,5440.0
Banglore,Jalahalli,1300,2,0,0,0,0,1,72.29,5561.0
Banglore,Jalahalli,1830,3,0,0,0,0,1,98.87,5403.0
Banglore,Jalahalli,1935,3,0,0,0,0,1,103.0,5323.0
Banglore,Jalahalli,1285,2,0,0,0,0,1,71.59999,5572.0
Banglore,Jalahalli,2010,3,0,0,0,0,1,107.0,5323.0
Banglore,Jalahalli,1615,3,0,0,0,0,1,89.0,5511.0
Banglore,Jalahalli,1720,3,0,0,0,0,1,93.82,5455.0
Banglore,Jalahalli,1325,2,0,0,0,0,1,73.44,5543.0
Banglore,Jalahalli,1270,2,0,0,0,0,1,70.91,5583.0
Banglore,Kasavanahalli,1320,3,1,0,0,1,0,62.79,4757.0
Banglore,Kasavanahalli,1100,2,1,0,0,1,0,53.06,4824.0
Banglore,Kasavanahalli,1405,3,1,0,0,1,0,66.55,4737.0
Banglore,Kasavanahalli,1075,2,1,0,0,1,0,51.95,4833.0
Banglore,Kasavanahalli,1140,2,1,0,0,1,0,54.83,4810.0
Banglore,Kasavanahalli,1150,2,1,0,0,1,0,55.27,4806.0
Banglore,Kasavanahalli,1350,3,1,0,0,1,0,64.12,4750.0
Banglore,Kasavanahalli,1265,3,1,0,0,1,0,60.36,4772.0
Banglore,Kasavanahalli,1015,2,1,0,0,1,0,49.3,4857.0
Banglore,Kasavanahalli,1395,3,1,0,0,1,0,66.11,4739.0
Banglore,Kasavanahalli,1070,2,1,0,0,1,0,51.73,4835.0
Banglore,Kasavanahalli,1270,3,1,0,0,1,0,60.58,4770.0
Banglore,Kasavanahalli,1320,3,1,0,0,1,0,62.79,4757.0
Banglore,Kasavanahalli,1050,2,1,0,0,1,0,50.85,4843.0
Banglore,Kasavanahalli,1355,3,1,0,0,1,0,64.34,4748.0
Banglore,Kasavanahalli,1090,2,1,0,0,1,0,52.62,4828.0
Banglore,Whitefield Hope Farm Junction,1485,3,0,0,0,1,0,66.81999,4500.0
Banglore,Whitefield Hope Farm Junction,1450,3,0,0,0,1,0,65.25,4500.0
Banglore,Whitefield Hope Farm Junction,1555,3,0,0,0,1,0,69.97,4500.0
Banglore,Whitefield Hope Farm Junction,1355,3,0,0,0,1,0,60.97,4500.0
Banglore,Whitefield Hope Farm Junction,1360,3,0,0,0,1,0,61.2,4500.0
Banglore,Whitefield Hope Farm Junction,1365,3,0,0,0,1,0,61.42,4500.0
Banglore,Whitefield Hope Farm Junction,1495,3,0,0,0,1,0,67.27,4500.0
Banglore,Whitefield Hope Farm Junction,1395,3,0,0,0,1,0,62.77,4500.0
Banglore,Whitefield Hope Farm Junction,1500,3,0,0,0,1,0,67.5,4500.0
Banglore,Whitefield Hope Farm Junction,1435,3,0,0,0,1,0,64.56999,4500.0
Banglore,Bommasandra,1310,3,1,0,0,1,1,52.4,4000.0
Banglore,Bommasandra,1030,2,1,0,0,1,1,41.2,4000.0
Banglore,Other,1275,3,1,0,0,1,1,70.12,5500.0
Banglore,Other,1490,3,1,0,0,1,1,81.95,5500.0
Banglore,RR Nagar,1706,3,1,0,0,1,0,80.5,4719.0
Banglore,RR Nagar,1258,2,1,0,0,1,0,59.0,4690.0
Banglore,RR Nagar,1723,3,1,0,0,1,0,81.0,4701.0
Banglore,RR Nagar,1369,2,1,0,0,1,0,64.0,4675.0
Banglore,RR Nagar,1335,2,1,0,0,1,0,62.75,4700.0
Banglore,Whitefield Hope Farm Junction,2000,3,0,0,0,1,1,144.0,7200.0
Banglore,Whitefield Hope Farm Junction,1900,3,0,0,0,1,1,137.0,7211.0
Banglore,Whitefield Hope Farm Junction,1560,3,0,0,0,1,1,113.99999,7308.0
Banglore,Begur,1097,2,0,0,0,1,1,45.0,4102.0
Banglore,Bommasandra,1310,3,1,0,0,1,1,52.4,4000.0
Banglore,Bommasandra,1030,2,1,0,0,1,1,41.2,4000.0
Banglore,Varthur,1216,2,1,0,0,1,1,89.54,7363.0
Banglore,Varthur,1195,2,1,0,0,1,1,88.0,7364.0
Banglore,Varthur,2321,3,1,0,0,1,1,154.0,6635.0
Banglore,Varthur,1655,3,1,0,0,1,1,110.0,6647.0
Banglore,Uttarahalli,1505,3,0,0,0,1,0,52.67,3500.0
Banglore,Uttarahalli,1002,2,0,0,0,1,0,35.07,3500.0
Banglore,Uttarahalli,1376,3,0,0,0,1,0,48.16,3500.0
Banglore,Uttarahalli,1232,2,0,0,0,1,0,43.12,3500.0
Banglore,Uttarahalli,1513,3,0,0,0,1,0,52.95,3500.0
Banglore,Uttarahalli,1056,2,0,0,0,1,0,36.96,3500.0
Banglore,Uttarahalli,1183,2,0,0,0,1,0,41.4,3500.0
Banglore,Uttarahalli,1095,2,0,0,0,1,0,38.32,3500.0
Banglore,Uttarahalli,965,2,0,0,0,1,0,33.77,3499.0
Banglore,Uttarahalli,1303,3,0,0,0,1,0,45.6,3500.0
